k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio
k4	3	45, 36, 36, 35	0	0	1.17, 1.05, 1.07, 1.06	0.86, 0.81, 0.95, 0.92	1.01, 1.01, 1.02, 1.02	0.9	0.88	64.25	0.01, 0.05, -0.08, -0.05	-0.02	0	0.92	1.38	0.98
k5	3	43, 1, 38, 33, 37	0	0	1.17, NA, 1.07, 1.06, 1.05	0.86, NaN, 0.95, 0.91, 0.82	1.01, NA, 1.02, 1.01, 1.01	0.9	0.88	63.89	-0.02, 0, -0.08, -0.07, 0.02	-0.03	0	0.92	1.41	0.98
k6	3	32, 1, 32, 26, 18, 43	0	0	1.17, NA, 1.06, 1.06, 1.05, 1.05	0.85, NaN, 0.92, 0.93, 0.72, 0.83	1.01, NA, 1.02, 1.02, 0.73, 1.01	0.9	0.86	60.36	-0.03, 0, -0.07, -0.06, 0.2, 0.01	0.01	0	0.93	1.6	0.95
k7	3	1, 28, 34, 24, 32, 18, 15	0	0	NA, 1.17, 1.05, 1.07, 1.06, 1.05, 1.03	NaN, 0.84, 0.86, 1, 0.92, 0.72, 0.69	NA, 1.01, 1.01, 1.02, 1.02, 0.73, 1.01	0.9	0.86	60.04	0, -0.08, -0.08, -0.15, -0.13, 0.16, 0.06	-0.03	0	0.78	1.78	0.95
k8	3	26, 13, 18, 29, 26, 8, 31, 1	0	0	1.17, 1.03, 1.05, 1.06, 1.05, 1.06, 1.05, NA	0.83, 0.62, 0.72, 0.91, 0.87, 0.99, 0.94, NaN	1.01, 0.77, 0.73, 1.02, 1.01, 1.02, 1.02, NA	0.9	0.85	58.83	-0.09, 0.11, 0.14, -0.14, -0.09, -0.2, -0.14, 0	-0.05	0	0.75	1.9	0.94
k9	3	25, 14, 18, 26, 7, 23, 1, 23, 15	0	0	1.17, 1.06, 1.05, 1.05, 1.03, 1.05, NA, 1.05, 1.06	0.82, 0.67, 0.72, 0.87, 0.96, 0.89, NaN, 0.91, 1	1.01, 0.86, 0.73, 1.01, 1.02, 1.01, NA, 1.02, 1.02	0.9	0.85	58.59	-0.07, 0.06, 0.15, -0.07, -0.18, -0.12, 0, -0.12, -0.17	-0.06	0	0.76	2.05	0.95
k10	3	13, 25, 6, 17, 6, 23, 26, 12, 23, 1	0	0	1.05, 1.17, 1.04, 1.05, 1.03, 1.05, 1.05, 1.06, 1.05, NA	0.65, 0.82, 0.99, 0.73, 1.01, 0.88, 0.87, 1.02, 0.91, NaN	0.84, 1.01, 1.03, 0.74, 1.02, 1.01, 1.01, 1.02, 1.02, NA	0.9	0.86	58.48	0.08, -0.08, -0.15, 0.13, -0.22, -0.12, -0.08, -0.21, -0.13, 0	-0.08	0	0.74	2.11	0.95
k11	3	25, 5, 24, 6, 4, 16, 1, 12, 20, 22, 17	0	0	1.05, 1.04, 1.17, 1.04, 1.03, 1.04, NA, 1.05, 1.05, 1.05, 1.05	0.86, 1.02, 0.81, 0.98, 0.96, 1, NaN, 0.77, 0.78, 0.89, 0.73	1.01, 1.03, 1.01, 1.01, 1.02, 1.02, NA, 0.99, 1.01, 1.01, 0.74	0.9	0.85	57.52	-0.02, -0.15, -0.02, -0.15, -0.16, -0.12, 0, -0.02, -0.03, -0.08, 0.18	-0.05	0	0.77	2.19	0.94
k12	3	17, 23, 1, 12, 19, 16, 17, 6, 12, 25, 4	0	0	1.05, 1.17, NA, 1.06, 1.05, 1.04, 1.05, 1.03, 1.05, 1.05, 1.03	0.85, 0.8, NaN, 1, 0.78, 1, 0.73, 1.02, 0.77, 0.86, 0.99	1.01, 1.01, NA, 1.02, 1.01, 1.02, 0.74, 1.02, 0.99, 1.01, 1.02	0.9	0.85	57.63	-0.05, -0.02, 0, -0.14, -0.03, -0.13, 0.18, -0.19, -0.02, -0.02, -0.15	-0.05	0	0.76	2.23	0.95
k13	3	4, 8, 16, 18, 17, 10, 11, 2, 19, 1, 25, 20, 1	0	0	1.03, 1.04, 1.04, 1.05, 1.05, 1.05, 1.06, 1.03, 1.17, NA, 1.05, 1.05, NA	1.02, 0.96, 1, 0.86, 0.73, 0.75, 1, 1.03, 0.77, NaN, 0.86, 0.78, NaN	1.02, 1.02, 1.02, 1.01, 0.74, 0.95, 1.02, 1.03, 1.01, NA, 1.01, 1.01, NA	0.9	0.85	56.69	-0.19, -0.11, -0.14, -0.09, 0.16, 0, -0.14, -0.19, -0.01, 0, -0.04, -0.04, 0	-0.06	0	0.75	2.3	0.94
