sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_CNV	Kids_First_Biospecimen_ID_SNV	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-5323	BS_G19QZG4S	BS_91DWR97R	BS_91DWR97R	BS_RPTM95GE	BS_G19QZG4S
7316-2085	BS_G3RJTBZD	BS_8AY2GM4G	BS_8AY2GM4G	BS_K1JR4YRA	BS_G3RJTBZD
7316-3817	BS_GG9W3J9Y	BS_F8K4VQMF	BS_F8K4VQMF	BS_83XZJWG0	BS_GG9W3J9Y
7316-1956	BS_GW0GKWMS	BS_230S192D	BS_230S192D	BS_EDK7V3CK	BS_GW0GKWMS
7316-3858	BS_GWHYM3R4	BS_G9WRA2N1	BS_G9WRA2N1	BS_K4MHEHHC	BS_GWHYM3R4
7316-2146	BS_H0QWRJE2	BS_D368BNRD	BS_D368BNRD	BS_6ZSPAKYX	BS_H0QWRJE2
7316-1106	BS_H1XPVS9A	BS_J4E9SW51	BS_J4E9SW51	BS_96QPQX80	BS_H1XPVS9A
7316-9838	BS_H5VQJR7X	BS_7SV64RVZ	BS_7SV64RVZ	BS_S1MG1BK6	BS_H5VQJR7X
7316-6387	BS_J4JY2F3H	BS_1WC7MCRT	BS_1WC7MCRT	BS_A746BQ2T	BS_J4JY2F3H
7316-9833	BS_JDSNFYQ0	BS_5Y6TDMGJ	BS_5Y6TDMGJ	BS_6HDWSD3P	BS_JDSNFYQ0
7316-1774	BS_JS95PE0J	BS_79NQJZ09	BS_79NQJZ09	BS_W57KS1XE	BS_JS95PE0J
7316-440	BS_K17VQECG	BS_R1G6SG0K	BS_A8XRT37Q	BS_SAMTKYB0	BS_K17VQECG
7316-9713	BS_K2N1WEZ7	BS_0A5H37YE	BS_0A5H37YE	BS_0RN1W1Q3	BS_K2N1WEZ7
7316-6885	BS_KB7WDWY8	BS_ERDKHKT5	BS_ERDKHKT5	BS_G5W0Q8Q2	BS_KB7WDWY8
7316-2274	BS_KP735TJ6	BS_HJ95JNFN	BS_HJ95JNFN	BS_5TN2QNQK	BS_KP735TJ6
7316-1776	BS_KQ6ZW085	BS_EHBH0NYX	BS_EHBH0NYX	BS_FF9N48KN	BS_KQ6ZW085
7316-2217	BS_M0QYNVK8	BS_EJV0N3BX	BS_EJV0N3BX	BS_5W21AWMR	BS_M0QYNVK8
7316-2092	BS_M7HCF7DW	BS_M28HG0NT	BS_M28HG0NT	BS_ZS0NAJHV	BS_M7HCF7DW
7316-6773	BS_M7XB258E	BS_HFN02939	BS_223NCNYJ	BS_RFAVPN1Z	BS_M7XB258E
7316-3771	BS_MDBT7S5Z	BS_1S5V7WWC	BS_1S5V7WWC	BS_RNWC00AB	BS_MDBT7S5Z
7316-2756	BS_MWWZBQ60	BS_TRGECFNP	BS_TRGECFNP	BS_55PHGKRC	BS_MWWZBQ60
7316-7758	BS_N6TQBQ8M	BS_MD2R88X3	BS_MD2R88X3	BS_ARVP8BAK	BS_N6TQBQ8M
7316-6254	BS_N7SW36FD	BS_XYYR1EVZ	BS_XYYR1EVZ	BS_AAZ866CK	BS_N7SW36FD
7316-4220	BS_NFKKDYSV	BS_46TETVWQ	BS_46TETVWQ	BS_GGR5DD5B	BS_NFKKDYSV
7316-204	BS_NPA6CZQF	BS_SK4H5MJQ	BS_SK4H5MJQ	BS_1JXKQ1VD	BS_NPA6CZQF
7316-7533	BS_NQ54ST98	BS_YCYG6EA4	BS_AKS869FD	BS_AD3VZ8AP	BS_NQ54ST98
7316-3935	BS_NR3P3GN2	BS_WJF6ZXWN	BS_WJF6ZXWN	BS_P35A0SPN	BS_NR3P3GN2
7316-388	BS_NXXTPSEP	BS_823V5X6Z	BS_1X206RYY	BS_DKJFS4BM	BS_NXXTPSEP
7316-2737	BS_P0QF87WC	BS_S791VC80	BS_S791VC80	BS_YMA9N90V	BS_P0QF87WC
7316-6574	BS_P4PMWFMV	BS_PKNW2TTK	BS_PKNW2TTK	BS_4WKWBFEM	BS_P4PMWFMV
7316-9834	BS_Q9N5PRD5	BS_NMEY2X9W	BS_NMEY2X9W	BS_ASQSA9JQ	BS_Q9N5PRD5
7316-5159	BS_QMBS32Y2	BS_E4C16ZWG	BS_E4C16ZWG	BS_9ZZ0543Z	BS_QMBS32Y2
7316-3022	BS_QWTE1CWR	BS_79SYEHY3	BS_79SYEHY3	BS_8GJ6K5QY	BS_QWTE1CWR
7316-6039	BS_R5JQE0VJ	BS_E1FCN4JK	BS_E1FCN4JK	BS_PX2GS0TD	BS_R5JQE0VJ
7316-6389	BS_RQTTCJ29	BS_4YJF0KE7	BS_4YJF0KE7	BS_8HKF7V0J	BS_RQTTCJ29
7316-116	BS_RXN5T5YT	BS_PPY0EWPG	BS_PPY0EWPG	BS_1CYD2ESS	BS_RXN5T5YT
7316-903	BS_S5P8VTN5	BS_872Q3FK2	BS_872Q3FK2	BS_ER1S1BYR	BS_S5P8VTN5
7316-2554	BS_S6S7SK3P	BS_8Q8N6AHW	BS_8Q8N6AHW	BS_H3MYZY2E	BS_S6S7SK3P
7316-5329	BS_SBMCD7XZ	BS_VYCDBFSH	BS_VYCDBFSH	BS_6SQMYDWP	BS_SBMCD7XZ
7316-9845	BS_SR2RGDXJ	BS_QH30P0AR	BS_QH30P0AR	BS_ECBAMM9X	BS_SR2RGDXJ
7316-392	BS_T3DGY9J9	BS_H0638GZT	BS_H0638GZT	BS_N07YNNW7	BS_T3DGY9J9
7316-895	BS_TJTEF70D	BS_BQWMQM2Y	BS_BQWMQM2Y	BS_WKCWT9J1	BS_TJTEF70D
7316-2751	BS_TK84K675	BS_1M63B97V	BS_065QV76T	BS_MZN7GK89	BS_TK84K675
7316-1937	BS_TM9MH0RP	BS_3E5C1PN1	BS_3E5C1PN1	BS_GTSTAR3W	BS_TM9MH0RP
7316-461	BS_TRKH2SPE	BS_P4K6WK9Y	BS_P4K6WK9Y	BS_P9JVPHRF	BS_TRKH2SPE
7316-5328	BS_TTDNZTZ0	BS_C2ZBPPW4	BS_C2ZBPPW4	BS_M37MAAEE	BS_TTDNZTZ0
7316-9842	BS_V0DQFC75	BS_0NGRECX0	BS_0NGRECX0	BS_H66ZV62C	BS_V0DQFC75
7316-3765	BS_V3Z3DB4N	BS_80078QDG	BS_80078QDG	BS_884GB32R	BS_V3Z3DB4N
7316-6755	BS_V6RSB5HQ	BS_2D0J8W64	BS_2D0J8W64	BS_5TPXNSKY	BS_V6RSB5HQ
7316-6756	BS_V8QWBVS3	BS_4N387B0K	BS_4N387B0K	BS_MM7886N4	BS_V8QWBVS3
7316-2594	BS_VF5XWFXD	BS_85Q5P8GF	BS_85Q5P8GF	BS_8SWRSV8D	BS_VF5XWFXD
7316-3521	BS_VMQMGSJY	BS_KAD49R68	BS_KAD49R68	BS_FG4HB896	BS_VMQMGSJY
7316-2288	BS_VVTHDRBD	BS_M4E4H6NG	BS_M4E4H6NG	BS_QTWKCTS7	BS_VVTHDRBD
7316-515	BS_W9N9844Q	BS_20TBZG09	BS_20TBZG09	BS_NJTKA8YR	BS_W9N9844Q
7316-2069	BS_WAXJY4XQ	BS_QQP17PDQ	BS_QQP17PDQ	BS_H2TZE6ZA	BS_WAXJY4XQ
7316-6475	BS_WE4C1XN1	BS_1VC0YAGC	BS_1VC0YAGC	BS_BE9VKEJP	BS_WE4C1XN1
7316-3206	BS_WH8G4VFB	BS_23ZE42Q3	BS_23ZE42Q3	BS_PM73CEV7	BS_WH8G4VFB
7316-2091	BS_WJ9H4NZZ	BS_RXSBJ929	BS_RXSBJ929	BS_BPWVWQ30	BS_WJ9H4NZZ
7316-3303	BS_WKESC3XN	BS_96S0VQBN	BS_96S0VQBN	BS_2NZKGP9F	BS_WKESC3XN
7316-5227	BS_WTJEDTZC	BS_DRTPRG5Q	BS_DRTPRG5Q	BS_4N94MKB6	BS_WTJEDTZC
7316-1656	BS_X23724NJ	BS_3BMGF6GN	BS_3BMGF6GN	BS_C4BJX2SA	BS_X23724NJ
7316-6985	BS_X3HR4Z21	BS_DAZVXFNQ	BS_DAZVXFNQ	BS_V8B6EE2J	BS_X3HR4Z21
7316-71	BS_X4X1SFSE	BS_MSB1RDAJ	BS_MSB1RDAJ	BS_PNS8DGQR	BS_X4X1SFSE
7316-3122	BS_XG0DBWVT	BS_FKQ7F6D1	BS_FKQ7F6D1	BS_WPJKS5T6	BS_XG0DBWVT
7316-89	BS_XQ5SFW35	BS_D6XHKZDZ	BS_D6XHKZDZ	BS_RFJN5JSA	BS_XQ5SFW35
7316-6886	BS_XYVCMF4A	BS_9BJ4Z98D	BS_9BJ4Z98D	BS_81NXMCKF	BS_XYVCMF4A
7316-409	BS_XZM79E42	BS_B9QP40ER	BS_B9QP40ER	BS_W0XE7GDM	BS_XZM79E42
7316-9253	BS_Y6D7QZM4	BS_15BAPZBP	BS_15BAPZBP	BS_KTAJPKN4	BS_Y6D7QZM4
7316-4842	BS_YSZRQ95C	BS_WFPXQ57P	BS_WFPXQ57P	BS_WFN3ZZK2	BS_YSZRQ95C
7316-6079	BS_Z0ZPD9S9	BS_TBSBAF8Y	BS_TBSBAF8Y	BS_C2TXWFS1	BS_Z0ZPD9S9
7316-2307	BS_Z8YZ6QGS	BS_P3PF53V8	BS_P3PF53V8	BS_RJMW12ZA	BS_Z8YZ6QGS
7316-1936	BS_ZVWE73JZ	BS_QG6V29H7	BS_QG6V29H7	BS_PW855N8A	BS_ZVWE73JZ
