sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-9842	BS_V0DQFC75	BS_H66ZV62C	BS_V0DQFC75
7316-3765	BS_V3Z3DB4N	BS_884GB32R	BS_V3Z3DB4N
7316-6755	BS_V6RSB5HQ	BS_5TPXNSKY	BS_V6RSB5HQ
7316-6756	BS_V8QWBVS3	BS_MM7886N4	BS_V8QWBVS3
7316-2594	BS_VF5XWFXD	BS_8SWRSV8D	BS_VF5XWFXD
7316-3521	BS_VMQMGSJY	BS_FG4HB896	BS_VMQMGSJY
7316-2288	BS_VVTHDRBD	BS_QTWKCTS7	BS_VVTHDRBD
7316-622	BS_W1385R8Y	BS_PKYWRC61	BS_W1385R8Y
7316-550	BS_W4DB5RP1	BS_E21K18A3	BS_W4DB5RP1
7316-371	BS_W60RQAKK	BS_NHHQWHER	BS_W60RQAKK
7316-515	BS_W9N9844Q	BS_NJTKA8YR	BS_W9N9844Q
7316-2069	BS_WAXJY4XQ	BS_H2TZE6ZA	BS_WAXJY4XQ
7316-6475	BS_WE4C1XN1	BS_BE9VKEJP	BS_WE4C1XN1
7316-9068	BS_WEKK6SHP	BS_13VNAV6C	BS_WEKK6SHP
7316-3206	BS_WH8G4VFB	BS_PM73CEV7	BS_WH8G4VFB
7316-4552	BS_WHBEXD5H	BS_QTF9XM61	BS_WHBEXD5H
7316-2091	BS_WJ9H4NZZ	BS_BPWVWQ30	BS_WJ9H4NZZ
7316-4702	BS_WK0FA4W7	BS_TSCQZE80	BS_WK0FA4W7
7316-3303	BS_WKESC3XN	BS_2NZKGP9F	BS_WKESC3XN
7316-5227	BS_WTJEDTZC	BS_4N94MKB6	BS_WTJEDTZC
7316-1656	BS_X23724NJ	BS_C4BJX2SA	BS_X23724NJ
7316-6985	BS_X3HR4Z21	BS_V8B6EE2J	BS_X3HR4Z21
7316-71	BS_X4X1SFSE	BS_PNS8DGQR	BS_X4X1SFSE
7316-3122	BS_XG0DBWVT	BS_WPJKS5T6	BS_XG0DBWVT
7316-89	BS_XQ5SFW35	BS_RFJN5JSA	BS_XQ5SFW35
7316-6886	BS_XYVCMF4A	BS_81NXMCKF	BS_XYVCMF4A
7316-409	BS_XZM79E42	BS_W0XE7GDM	BS_XZM79E42
7316-9253	BS_Y6D7QZM4	BS_KTAJPKN4	BS_Y6D7QZM4
7316-249	BS_YEW22W35	BS_Z2T8V6NF	BS_YEW22W35
7316-4842	BS_YSZRQ95C	BS_WFN3ZZK2	BS_YSZRQ95C
7316-7213	BS_YZ2QFDAN	BS_W8W6G0RT	BS_YZ2QFDAN
7316-6079	BS_Z0ZPD9S9	BS_C2TXWFS1	BS_Z0ZPD9S9
7316-1060	BS_Z8F3GM85	BS_J5V9PEM9	BS_Z8F3GM85
7316-2307	BS_Z8YZ6QGS	BS_RJMW12ZA	BS_Z8YZ6QGS
7316-6251	BS_ZM97KKXE	BS_05QV0A71	BS_ZM97KKXE
7316-1068	BS_ZV1P6W9C	BS_N214HN9M	BS_ZV1P6W9C
7316-1936	BS_ZVWE73JZ	BS_PW855N8A	BS_ZVWE73JZ
